ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc,
26230302,12.2,36,0,0,0,-75.9,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.003,0,89,0.016,0.013,26230277,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.08,0,586.276,594.119,1,26230298,0.0131665,0.00529858,-2.37813,-0.00585938,-0.0136719,1.05371,-0.12207,-0.244141,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230323,12.2,36,0,0,0,-75.7,0.1,0,-0.09,0.04,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.042,0,89,0.015,0.012,26230303,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.09,0,586.276,594.119,1,26230319,0.0123913,0.0068656,-2.37806,-0.0078125,-0.0166016,1.05273,-0.0610352,-0.183105,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230345,12.2,36,0,0,0,-75.5,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.017,0,89,0.014,0.012,26230326,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.1,0,586.276,594.119,1,26230342,0.0111947,0.00707618,-2.37804,-0.0102539,-0.012207,1.05127,-0.244141,-0.305176,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230366,12.2,36,0,0,0,-75.3,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.015,0.012,26230348,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.07,0,586.276,594.119,1,26230361,0.0118792,0.00926656,-2.37801,-0.0117188,-0.012207,1.0498,-0.244141,-0.183105,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230388,12.3,36,0,0,0,-75.5,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.022,0,89,0.014,0.011,26230369,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.17,0,586.276,594.119,1,26230382,0.0125177,0.00744578,-2.37795,-0.00390625,-0.00927734,1.04004,-0.366211,-0.12207,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230407,12.2,36,0,0,0,-75.6,0.07,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.023,0,89,0.015,0.012,26230390,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.12,0,586.276,594.119,1,26230404,0.0118603,0.00852616,-2.37791,-0.00927734,-0.0126953,1.04541,-0.305176,-0.305176,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230429,12.2,36,0,0,0,-75.4,0.09,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.006,0,89,0.015,0.012,26230410,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.14,0,586.276,594.119,1,26230424,0.0112375,0.00928528,-2.37785,-0.00927734,-0.0136719,1.04395,-0.183105,-0.183105,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230450,12.2,36,0,0,0,-75.5,0.09,0,-0.1,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.01,0,89,0.015,0.012,26230432,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.15,0,586.276,594.119,1,26230446,0.0110422,0.0070259,-2.37785,-0.00683594,-0.012207,1.0542,-0.305176,-0.427246,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230469,12.3,36,0,0,0,-75.5,0.1,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.014,0.012,26230452,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.09,0,586.276,594.119,1,26230465,0.0112839,0.00518194,-2.37779,-0.00732422,-0.0146484,1.05371,-0.244141,-0.305176,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230491,12.2,36,0,0,0,-75.3,0.07,0,-0.07,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.028,0,89,0.015,0.012,26230472,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.09,0,586.276,594.119,1,26230486,0.0117866,0.00554575,-2.37772,-0.0078125,-0.00732422,1.0459,-0.427246,-0.244141,-0.366211,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230509,12.2,36,0,0,0,-75.2,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.007,0,89,0.015,0.012,26230493,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.02,0,586.276,594.119,1,26230507,0.0109207,0.00627695,-2.37771,-0.00732422,-0.00878906,1.04785,-0.427246,-0.183105,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
