ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
35020924;12.7;32;0;0;0;-75.9;0.11;0;-0.12;0.04;0;0;0.0124;0;0.1593;0.0006;69657;69717;315;0;89;0.014;0.011;35020426;0.0124;0;0.1593;0.0006;1.008;57.071;0;0.11;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35020954;12.7;32;0;0;0;-75.9;0.11;0;-0.12;0.04;0;0;0.0124;0;0.1593;0.0006;69657;69717;315.001;0;89;0.015;0.011;35020924;0.0124;0;0.1593;0.0006;1.008;57.07;0;0.08;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35020980;12.7;32;0;0;0;-75.9;0.09;0;-0.1;0.03;0;0;0.0124;0;0.1593;0.0006;69657;69717;315.01;0;89;0.013;0.01;35020959;0.0124;0;0.1593;0.0006;1.008;57.07;0;0.13;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35021001;12.7;32;0;0;0;-75.8;0.09;0;-0.1;0.03;0;0;0.0124;0;0.1593;0.0006;69657;69717;315;0;89;0.015;0.011;35020984;0.0124;0;0.1593;0.0006;1.008;57.07;0;-0.02;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35021032;12.7;32;0;0;0;-75.8;0.09;0;-0.1;0.03;0;0;0.0124;0;0.1593;0.0006;69657;69717;315;0;89;0.015;0.011;35021007;0.0124;0;0.1593;0.0006;1.008;57.069;0;0.1;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35021052;12.7;32;0;0;0;-76.1;0.1;0;-0.1;0.03;0;0;0.0124;0;0.1593;0.0006;69657;69717;315.014;0;89;0.015;0.011;35021033;0.0124;0;0.1593;0.0006;1.008;57.069;0;0.12;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35021081;12.7;32;0;0;0;-76;0.1;0;-0.11;0.03;0;0;0.0124;0;0.1593;0.0006;69657;69717;315;0;89;0.014;0.01;35021053;0.0124;0;0.1593;0.0006;1.008;57.069;0;0.04;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35021107;12.7;32;0;0;0;-76;0.09;0;-0.1;0.03;0;0;0.0124;0;0.1593;0.0006;69657;69717;315.006;0;89;0.015;0.011;35021090;0.0124;0;0.1593;0.0006;1.008;57.069;0;0.14;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35021135;12.7;32;0;0;0;-76.3;0.09;0;-0.11;0.03;0;0;0.0124;0;0.1593;0.0006;69657;69717;315;0;89;0.014;0.01;35021111;0.0124;0;0.1593;0.0006;1.008;57.069;0;0.05;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
35021156;12.7;32;0;0;0;-76;0.12;0;-0.13;0.05;0;0;0.0124;0;0.1593;0.0006;69657;69717;315.013;0;89;0.015;0.011;35021140;0.0124;0;0.1593;0.0006;1.008;57.069;0;0.12;0;144.152;144.276;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
